country,1999,2000,2001
Afghanistan,19987071,20595360,21347782
Albania,3317941,3304948,3286084
Algeria,31276295,31719449,32150198
American Samoa,NA,57522,58176
Andorra,64084,65399,68000
Angola,13510616,13924930,14385283
Antigua and Barbuda,NA,77648,78972
Argentina,36514558,36903067,37273361
Armenia,3093820,3076098,3059960
Australia,19027438,19259377,19487257
Austria,8007843,8020262,8049440
Azerbaijan,8047936,8117742,8195427
Bahamas,293442,297759,NA
Bahrain,640913,668239,698749
Bangladesh,129966823,132383265,134729503
Barbados,NA,267190,268296
Belarus,NA,NA,9920173
Belgium,10242449,10268380,10300775
Belize,NA,238586,245198
Benin,6740491,6949366,7174911
Bhutan,548599,564350,580888
Bolivia (Plurinational State of),8322408,8495271,8669066
Bosnia and Herzegovina,3752004,3834364,3879353
Botswana,1724924,1755375,1783349
Brazil,172006362,174504898,176968205
British Virgin Islands,NA,20643,NA
Brunei Darussalam,324501,331801,NA
Bulgaria,NA,8000510,7934973
Burkina Faso,11281942,11607944,11946080
Burundi,6545273,NA,6839376
Cabo Verde,NA,NA,450812
Cambodia,11960467,12222871,12472586
Cameroon,15513653,15927713,16350440
Canada,30415664,30697425,30986788
Cayman Islands,39810,41685,43317
Central African Republic,3569523,NA,3704045
Chad,8002899,NA,NA
Chile,15265536,15454402,15639289
China,1272915272,1280428583,1287890449
"China, Hong Kong SAR",6732627,6835301,6892752
"China, Macao SAR",NA,431907,438080
Colombia,39234115,39897984,40558648
Comoros,NA,528312,541976
Congo,3044444,NA,3205636
Cook Islands,NA,17826,18003
Costa Rica,3841734,3929588,4013488
Croatia,4511766,NA,4446789
Cuba,11101580,11138416,11175465
Cyprus,925491,NA,NA
Czech Republic,10270096,10250398,10231435
Democratic People's Republic of Korea,22641754,22840225,23043449
Democratic Republic of the Congo,45889100,46949244,48167045
Denmark,5319410,5338283,5354684
Djibouti,711652,722887,733732
Dominican Republic,8527881,8663421,NA
Ecuador,NA,NA,12780869
Egypt,65097777,66136590,67204189
El Salvador,5928809,5958794,5985299
Eritrea,3795384,3939348,4101609
Estonia,1375744,1366117,1356549
Ethiopia,64158887,66024199,67956866
Fiji,806857,811647,814700
Finland,5164780,5176482,5188330
France,58894671,59213096,59600714
French Polynesia,232956,237267,241276
Gabon,1195919,NA,1255299
Gambia,1193143,NA,NA
Georgia,4803312,4743591,4682290
Germany,83490881,NA,83583461
Ghana,18384302,18825034,19293392
Greece,10947724,10986883,11012931
Grenada,101441,NA,NA
Guam,NA,155328,156417
Guatemala,10941913,11204183,11478984
Guinea,8600911,8746128,8895353
Guinea-Bissau,NA,1273312,NA
Guyana,NA,744471,747657
Haiti,8433339,8578234,8720247
Honduras,6107385,6235561,6365040
Hungary,10253110,10224113,10196130
Iceland,278376,281214,284056
India,1025014711,1042261758,1059500888
Indonesia,205946831,NA,211970371
Iran (Islamic Republic of),64858754,65911052,66857624
Iraq,23091408,23801156,24516842
Ireland,3750879,3803741,3865839
Israel,5891263,6013711,6129590
Italy,56872736,56986085,57200233
Jamaica,2558579,2582219,2604946
Japan,125481436,125714674,125973930
Jordan,4699278,4767476,4835108
Kazakhstan,14679568,14575644,14559255
Kenya,30478597,31285050,32126351
Kiribati,81377,82788,84261
Kuwait,1818405,1906231,1980604
Kyrgyzstan,4898865,4954850,4988162
Lao People's Democratic Republic,5298146,5388281,5470169
Latvia,2394521,2371481,2345309
Lebanon,3156706,3235380,3357600
Lesotho,NA,1856225,NA
Liberia,NA,2891968,2998770
Libya,5092939,5176185,NA
Lithuania,3530932,3498446,3461616
Luxembourg,NA,NA,440137
Madagascar,NA,NA,16235767
Malawi,11012707,11321496,11623166
Malaysia,22896048,23420751,23925742
Maldives,267456,272745,277825
Mali,9977308,10260577,NA
Malta,405716,407529,409116
Marshall Islands,52076,52161,52184
Mauritania,2627739,NA,NA
Mauritius,1176227,1185143,NA
Mexico,102316781,103873607,105339877
Micronesia (Federated States of),NA,107430,107170
Monaco,31795,NA,NA
Mongolia,2376197,2397473,2419669
Morocco,28374203,28710123,29021156
Myanmar,47925630,48453000,48894203
Namibia,1857149,1897953,1931282
Nauru,10044,10042,10053
Nepal,22690158,23184177,23655119
Netherlands,15772758,15859863,15950214
Netherlands Antilles,180623,177838,176280
New Caledonia,205997,210010,213919
New Zealand,3817367,3858032,3906817
Nicaragua,5021079,5100920,5176685
Niger,NA,10989815,NA
Nigeria,NA,122876727,126004992
Niue,1952,NA,NA
Northern Mariana Islands,NA,68434,68817
Norway,4466468,4491572,4514723
Oman,2172287,2192535,2239025
Pakistan,140580398,143832014,146857081
Palau,18878,NA,NA
Panama,2993685,3054812,3116409
Papua New Guinea,5240941,5379226,5518971
Paraguay,5240321,5350253,5460621
Peru,25611482,26000080,26372358
Poland,38390217,38351437,38314744
Portugal,10263532,10306192,10350660
Puerto Rico,3786884,3796981,3799358
Qatar,572155,593693,611808
Republic of Korea,45742103,45977210,46192932
Republic of Moldova,4167552,4107184,4040579
Romania,22484940,22388354,22310092
Russian Federation,147275875,146762881,146170247
Rwanda,7853015,8395577,NA
Saint Kitts and Nevis,NA,NA,46214
Saint Lucia,155073,156949,158650
Saint Vincent and the Grenadines,NA,107897,107989
Samoa,173758,174614,175567
San Marino,NA,26969,NA
Sao Tome and Principe,NA,139428,141783
Saudi Arabia,19620692,20144584,20891594
Senegal,9618564,9861679,10119118
Serbia & Montenegro,NA,NA,10826817
Seychelles,NA,79774,81093
Sierra Leone,NA,4139757,4295667
Singapore,3822625,3918189,4023284
Slovakia,5386384,5388010,5388448
Slovenia,1989178,1989545,1989732
Solomon Islands,NA,412336,NA
Somalia,7149044,7385416,7609265
South Africa,44195890,44846286,45513217
Spain,NA,NA,40756675
Sri Lanka,18695041,18846401,19037119
Sudan,33447666,34382782,35359265
Suriname,NA,466668,473312
Swaziland,NA,1063715,1074761
Sweden,8863595,8872284,8888444
Switzerland,7136813,7165581,7200783
Syrian Arab Republic,NA,16371208,16700984
Tajikistan,NA,NA,6289340
Thailand,61623143,62343379,63069070
The Former Yugoslav Republic of Macedonia,2034487,2052129,2065098
Togo,4740974,4864753,NA
Tonga,97457,97962,98504
Trinidad and Tobago,1264781,1267980,1272347
Tunisia,9451481,9552776,9652120
Turkmenistan,4449427,4501419,4551762
Uganda,23507800,24275641,25088033
Ukraine,49510626,49057226,48620596
United Arab Emirates,2893648,3026352,NA
United Kingdom of Great Britain and Northern Ireland,58735006,58951444,59183774
United Republic of Tanzania,33183093,34020512,34895398
United States of America,281419130,284594395,287532638
Uruguay,3308884,3320841,3326762
Uzbekistan,24517962,24828562,25098636
Vanuatu,181346,185058,189285
Venezuela (Bolivarian Republic of),23945002,NA,NA
Viet Nam,80027521,80887879,81728768
Yemen,17035531,17522537,18029989
Zambia,NA,10100981,NA
